--- Step: Moving Down ---
11201, 16837, 11176, 10984, 11235, 86, 72, 104, 66, 58, 11911, 17438, 11845, 11806, 11612, 95, 73, 114, 64, 59, 10875, 16057, 10703, 10722, 10890, 84, 69, 106, 61, 53, 10821, 15932, 10693, 10681, 10902, 81, 70, 106, 61, 55, 10826, 16242, 10819, 10845, 10994, 85, 67, 102, 63, 55, 424, 792, 438, 427, 425, 4, 5, 6, 5, 5, 420, 746, 444, 439, 441, 7, 5, 6, 3, 5, 869, 1366, 850, 845, 829, 4, 3, 12, 1, 5, 205, 337, 212, 202, 200, 4, 2, 10, 4, 1, 161, 164, 239, 219, 206, 5, 3, 11, 9, 1, 854, 1275, 834, 829, 821, 9, 11, 10, 3, 3, 56, 36, 6, 5, 7, 4, 1, 4, 7, 2
11163, 16837, 11171, 10984, 11236, 86, 73, 104, 60, 58, 11736, 17438, 11848, 11806, 11625, 95, 75, 114, 63, 59, 10832, 16057, 10700, 10722, 10895, 84, 69, 106, 58, 53, 10743, 15932, 10699, 10681, 10908, 81, 71, 106, 59, 55, 10826, 16242, 10819, 10845, 10994, 85, 67, 102, 63, 55, 424, 792, 438, 427, 425, 4, 5, 6, 5, 5, 420, 746, 444, 439, 441, 7, 5, 6, 3, 5, 869, 1366, 850, 845, 829, 4, 3, 12, 1, 5, 205, 337, 212, 202, 200, 4, 2, 10, 4, 6, 161, 234, 239, 214, 206, 4, 3, 11, 9, 3, 854, 1335, 834, 830, 821, 9, 11, 12, 3, 7, 56, 49, 6, 5, 7, 2, 1, 7, 7, 6
11163, 16945, 11171, 10980, 11236, 89, 73, 103, 60, 59, 11736, 17409, 11848, 11802, 11625, 96, 75, 111, 63, 60, 10832, 16044, 10700, 10716, 10895, 95, 69, 107, 58, 52, 10743, 15995, 10699, 10677, 10908, 87, 71, 108, 59, 53, 10826, 16244, 10819, 10841, 10994, 91, 67, 102, 63, 58, 424, 746, 438, 421, 425, 7, 5, 6, 5, 5, 420, 693, 444, 423, 441, 5, 5, 5, 3, 4, 869, 1359, 850, 836, 829, 8, 3, 8, 1, 8, 205, 298, 212, 193, 200, 5, 2, 5, 4, 6, 161, 234, 239, 214, 206, 4, 3, 11, 9, 3, 854, 1335, 834, 830, 821, 9, 11, 12, 3, 7, 56, 49, 6, 5, 7, 2, 1, 7, 7, 6
11197, 16945, 11177, 10980, 11239, 89, 70, 103, 70, 59, 11937, 17409, 11846, 11802, 11614, 96, 73, 111, 73, 60, 10821, 16044, 10700, 10716, 10893, 95, 68, 107, 63, 52, 10843, 15995, 10695, 10677, 10898, 87, 68, 108, 61, 53, 10869, 16244, 10813, 10841, 10998, 91, 68, 102, 63, 58, 488, 746, 442, 421, 434, 7, 7, 6, 4, 5, 537, 693, 447, 423, 440, 5, 5, 5, 8, 4, 870, 1359, 852, 836, 827, 8, 8, 8, 8, 8, 192, 298, 208, 193, 194, 5, 6, 5, 4, 6, 235, 234, 229, 214, 208, 4, 6, 11, 2, 3, 895, 1335, 836, 830, 824, 9, 7, 12, 6, 7, 50, 49, 8, 5, 10, 2, 4, 7, 4, 6
11197, 16754, 11177, 10986, 11239, 93, 70, 95, 70, 65, 11937, 17314, 11846, 11806, 11614, 87, 73, 103, 73, 69, 10821, 15921, 10700, 10722, 10893, 79, 68, 99, 63, 58, 10843, 15877, 10695, 10682, 10898, 80, 68, 96, 61, 63, 10869, 16131, 10813, 10845, 10998, 85, 68, 96, 63, 62, 488, 650, 442, 432, 434, 7, 7, 1, 4, 7, 537, 665, 447, 435, 440, 9, 5, 3, 8, 11, 870, 1228, 852, 836, 827, 8, 8, 4, 8, 14, 192, 227, 208, 200, 194, 8, 6, 3, 4, 7, 235, 149, 229, 219, 208, 7, 6, 4, 2, 7, 895, 1231, 836, 833, 824, 8, 7, 4, 6, 8, 50, 19, 8, 1, 10, 3, 4, 4, 4, 5
11197, 16754, 11177, 10986, 11239, 93, 70, 95, 70, 65, 11937, 17314, 11846, 11806, 11614, 87, 73, 103, 73, 69, 10821, 15921, 10700, 10722, 10899, 79, 62, 99, 59, 58, 10743, 15877, 10694, 10682, 10904, 80, 61, 96, 65, 63, 10758, 16131, 10815, 10845, 11004, 85, 65, 96, 61, 62, 353, 650, 439, 432, 425, 7, 2, 1, 7, 7, 439, 665, 448, 435, 437, 9, 2, 3, 5, 11, 809, 1228, 848, 836, 830, 8, 5, 4, 10, 14, 196, 227, 208, 200, 196, 8, 3, 3, 5, 7, 198, 149, 231, 219, 205, 7, 7, 4, 3, 7, 863, 1231, 833, 833, 817, 8, 6, 4, 9, 8, 41, 19, 11, 1, 5, 3, 5, 4, 6, 5
11102, 16754, 11176, 10986, 11242, 93, 66, 95, 69, 65, 11747, 17314, 11851, 11806, 11622, 87, 70, 103, 66, 69, 10716, 15921, 10702, 10722, 10899, 79, 62, 99, 59, 58, 10743, 15877, 10694, 10682, 10904, 80, 61, 96, 65, 63, 10758, 16131, 10815, 10845, 11004, 85, 65, 96, 61, 62, 353, 650, 439, 432, 425, 7, 2, 1, 7, 7, 439, 665, 448, 435, 437, 9, 2, 3, 5, 11, 809, 1228, 848, 838, 830, 10, 5, 7, 10, 5, 196, 342, 208, 201, 196, 6, 3, 3, 5, 4, 198, 148, 231, 211, 205, 5, 7, 13, 3, 5, 863, 1318, 833, 829, 817, 8, 6, 8, 9, 8, 41, 62, 11, 5, 5, 3, 5, 3, 6, 6
11102, 16802, 11176, 10985, 11242, 86, 66, 106, 69, 57, 11747, 17462, 11851, 11813, 11622, 92, 70, 110, 66, 58, 10716, 15991, 10702, 10724, 10899, 82, 62, 104, 59, 53, 10743, 15976, 10694, 10678, 10904, 78, 61, 98, 65, 52, 10758, 16271, 10815, 10844, 11004, 82, 65, 99, 61, 58, 353, 698, 439, 424, 425, 7, 2, 4, 7, 6, 439, 714, 448, 435, 437, 7, 2, 6, 5, 6, 809, 1282, 848, 838, 830, 10, 5, 7, 10, 5, 196, 342, 208, 201, 196, 6, 3, 3, 5, 4, 198, 148, 231, 211, 205, 5, 7, 13, 3, 5, 863, 1318, 833, 829, 817, 8, 6, 8, 9, 8, 41, 62, 11, 5, 5, 3, 5, 3, 6, 6
11293, 16802, 11179, 10985, 11236, 86, 71, 106, 65, 57, 11957, 17462, 11851, 11813, 11620, 92, 75, 110, 70, 58, 10865, 15991, 10705, 10724, 10900, 82, 66, 104, 60, 53, 10877, 15976, 10695, 10678, 10900, 78, 68, 98, 61, 52, 10931, 16271, 10820, 10844, 11002, 82, 70, 99, 62, 58, 515, 698, 440, 424, 436, 7, 5, 4, 5, 6, 511, 714, 443, 435, 438, 7, 7, 6, 7, 6, 981, 1282, 852, 838, 828, 10, 8, 7, 6, 5, 230, 342, 207, 201, 195, 6, 5, 3, 4, 4, 239, 148, 235, 211, 204, 5, 7, 13, 4, 5, 916, 1318, 836, 829, 816, 8, 10, 8, 6, 8, 17, 62, 8, 5, 8, 3, 3, 3, 2, 6
11293, 16932, 11179, 10988, 11236, 85, 71, 105, 65, 62, 11957, 17460, 11851, 11811, 11620, 84, 75, 109, 70, 60, 10865, 16053, 10705, 10717, 10900, 78, 66, 97, 60, 59, 10877, 16026, 10695, 10683, 10900, 78, 68, 100, 61, 55, 10931, 16286, 10820, 10842, 11002, 79, 70, 100, 62, 58, 515, 730, 440, 424, 436, 3, 5, 9, 5, 5, 511, 759, 443, 434, 438, 5, 7, 10, 7, 2, 981, 1369, 852, 840, 828, 5, 8, 12, 6, 1, 230, 325, 207, 203, 195, 8, 5, 8, 4, 6, 239, 159, 235, 217, 204, 3, 7, 6, 4, 5, 916, 1330, 836, 833, 816, 7, 10, 15, 6, 2, 17, 95, 8, 1, 8, 6, 3, 3, 2, 4
